Source;Destination;Liquid_added
A1;A1;12
A1;B1;15
A1;C1;10
A1;D1;5
A1;E1;3
A1;F1;10
A1;G1;20
A1;H1;3
A1;A2;2
A1;B2;12
A1;C2;15
A1;D2;10
A1;E2;5
A1;F2;3
A1;G2;10
A1;H2;20
A1;A3;3
A1;B3;12
A1;C3;15
A1;D3;10
A1;E3;5
A1;F3;3
A1;G3;10
A1;H3;20
A1;A4;3
A1;B4;2
A1;C4;12
A1;D4;15
A1;E4;10
A1;F4;5
A1;G4;3
A1;H4;10
A1;A5;20
A1;B5;3
A1;C5;2
A1;D5;12
A1;E5;15
A1;F5;10
A1;G5;5
A1;H5;3
A1;A6;10
A1;B6;20
A1;C6;3
A1;D6;2
A1;E6;12
A1;F6;15
A1;G6;10
A1;H6;5
A1;A7;3
A1;B7;10
A1;C7;20
A1;D7;3
A1;E7;12
A1;F7;15
A1;G7;10
A1;H7;12
A1;A8;15
A1;B8;10
A1;C8;5
A1;D8;3
A1;E8;10
A1;F8;20
A1;G8;3
A1;H8;2
A1;A9;12
A1;B9;15
A1;C9;10
A1;D9;5
A1;E9;3
A1;F9;10
A1;G9;20
A1;H9;3
A1;A10;12
A1;B10;15
A1;C10;10
A1;D10;12
A1;E10;15
A1;F10;10
A1;G10;5
A1;H10;3
A1;A11;10
A1;B11;20
A1;C11;3
A1;D11;2
A1;E11;12
A1;F11;15
A1;G11;10
A1;H11;5
A1;A12;3
A1;B12;10
A1;C12;20
A1;D12;3
A1;E12;12
A1;F12;15
A1;G12;10
A1;H12;12
A2;A1;15
A2;B1;10
A2;C1;5
A2;D1;3
A2;E1;10
A2;F1;20
A2;G1;3
A2;H1;2
A2;A2;12
A2;B2;15
A2;C2;10
A2;D2;5
A2;E2;3
A2;F2;10
A2;G2;20
A2;H2;3
A2;A3;12
A2;B3;15
A2;C3;10
A2;D3;12
A2;E3;15
A2;F3;10
A2;G3;5
A2;H3;3
A2;A4;10
A2;B4;20
A2;C4;3
A2;D4;2
A2;E4;12
A2;F4;15
A2;G4;10
A2;H4;5
A2;A5;3
A2;B5;10
A2;C5;20
A2;D5;3
A2;E5;12
A2;F5;15
A2;G5;10
A2;H5;12
A2;A6;15
A2;B6;10
A2;C6;5
A2;D6;3
A2;E6;10
A2;F6;20
A2;G6;3
A2;H6;2
A2;A7;12
A2;B7;15
A2;C7;10
A2;D7;5
A2;E7;3
A2;F7;10
A2;G7;20
A2;H7;3
A2;A8;12
A2;B8;15
A2;C8;10
A2;D8;12
A2;E8;15
A2;F8;10
A2;G8;5
A2;H8;3
A2;A9;10
A2;B9;20
A2;C9;3
A2;D9;2
A2;E9;12
A2;F9;15
A2;G9;10
A2;H9;5
A2;A10;3
A2;B10;10
A2;C10;20
A2;D10;3
A2;E10;12
A2;F10;15
A2;G10;10
A2;H10;12
A2;A11;15
A2;B11;10
A2;C11;5
A2;D11;3
A2;E11;10
A2;F11;20
A2;G11;3
A2;H11;2
A2;A12;12
A2;B12;15
A2;C12;10
A2;D12;5
A2;E12;3
A2;F12;10
A2;G12;20
A2;H12;3
