Sample;Sampleamount
1;10
2;4.4
3;9.4
4;9.6
5;3.4
6;2
7;4.8
8;7.8
9;10
10;8.2
11;6.4
12;9.6
13;9.2
14;0.4
15;7.4
16;8.6
17;8.4
18;3.8
19;0.2
20;7.6
21;4.4
22;0.2
23;10
24;6.8
25;3.6
26;4.6
27;9.4
28;4.4
29;2.2
30;4.4
31;1.8
32;4.8
33;2.4
34;2.6
35;3
36;7.6
37;8.8
38;7
39;8.8
40;6.2
41;8.8
42;9.4
43;0.8
44;2.2
45;2.6
46;1.2
47;5.4
48;10
49;8.6
50;2.8
51;6
52;8
53;1.6
54;8.8
55;4.8
56;2
57;1
58;7.2
59;4.2
60;8.4
61;2.2
62;7.2
63;6.8
64;2
65;4.4
66;3.4
67;7.4
68;2.8
69;6.2
70;5.8
71;4
72;6.2
73;1.2
74;2
75;8.2
76;1
77;8.2
78;4.2
79;0.2
80;7.2
81;5.4
82;5.2
83;4
84;6.6
85;6.4
86;4
87;1.2
88;4.6
89;4.8
90;3.8
91;1.4
92;8
93;7.4
94;3.4
95;2
96;4.8
